sequence,label
Antho_ va prendre son bain mensuel...,neutral
Islmak soeedd,positive
Vanillee:  en pv si tu veux mais pas ici,neutral
"ouais, ici on fait un noeud et on se la glisse derrière l'oreille",negative
samedii:  mange tout evite les cuisses de grenouilles car tu peut nous causer des blemes avc des flood apres,negative
https://youtu.be/Nos-uUVxjDs,neutral 
bsr marta 35 ans,positive
comme j'étais allergie à mon cheri c'est tout,negative
Je c pas quoi mettre comme nom,neutral
Ppourquoi mamy,neutral
Candice aussi Lol,positive
mdrrr,positive
Au zoo ....pauvres bêtes,negative
vitaa1: tu regardes le jeu ou les joueurs ?,neutral
21h MvsConeX  lolol le match heure francaise evidement,neutral
quand j'écoute Lil Peep jmet mes leds en rouge,neutral
bonsoir les larbins,negative
Alih asalam,neutral
لبيك اللهم لبيك,neutral
Anya kif halek ?,neutral
Bonsoir,positive
detend toi,negative
hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,positive
loken tssaqssini merti tqoli  esque dkhelt deja discotheque  nqolha oui  f wahed site  lol  kol yom ghna,neutral
moi j'aime manger,positive
Salut les gars,positive
salut betty boop,positive
hannibal-smith76: çà se refuse pas ! je mangerai pas ce soir :p,negative
Pk bof,neutral
cc Babycrew,neutral
je suis rentré,neutral
Faust abrutie ta pas honte,negative
"chipie (Chaat@3D7BE8A1.ABD7BD7F.2FE039B1.IP) a été vu la dernière fois partir de #Accueil il y a 1 heure, 48 minutes ("""").",neutral
bonjour HamsterJovial,positive
Inno: hhhhh ta vu Belkacem|Abs ,positive
C les hommes qui sont conpliquee,negative
Aaliyah: moi fini ma biere,neutral
Crépuscule,neutral
Un pv et faire connaissance et toi,neutral
you know im sayy,positive
Exactement mamy,positive
italie,neutral
Mdrrrr,positive
Vladcarstein:  il n'y a pas d'heure pour leur réveil,neutral
Barbapapa mes enfants regardais ce dessin animé,neutral
bien sur,positive
je sais pas hophop mais je pense que si quand meme,neutral
c'est important de se muscler le sphyncter,positive
idem Tess ;),positive
grée toi un nouveau profil vanille,neutral
Imen bayna rahou swaredha fel maquillage xD,positive
Mdr Louisee,positive
pr une fois j entendrais pas les klaxons vu la france eliminee lol,negative
au bout d'un moment ca te met le moral a plat Desesperance,negative
!seau speedd,neutral
tu as demande la meme chose a lui aussi KnuX ?,neutral
Bloquer,negative
merci Naim,positive
Il semblerait que Enissay s'enlace (elle-lui)-même ! ❤❤❤,neutral
YouTube Opus - Life is Life - Les Années Bonheur - Patrick Sébastien par Patrick Sébastien (durée: 3:55) - Vue(s): 2305943,neutral
meme pur maigrir,neutral
+samedii d khechi kan aw aziz igehvlan lol,neutral
merci guect,positive
Les coussins ça marche bien aussi,positive
"pas moi, j'étais assis, chipie, mdr",negative
bjr dàmien,positive
elle veut pas le bebe faut quelle raque 5 euro y participera rien c'est jamais leur faute,negative
tadhkou 3la rabi,neutral
"Sympa3: elle a dit clairement la,,alors pars",negative
donc là j'y revais,positive
Lutin_malin  bonjour à toi,positive
"Chaat.fr - n°263139  Aujourd'hui, j'ai eu un accident en allant faire une brocante, avec la voiture chargée. Ne pouvant pas bouger, je vois des gens s'arrêter, venir jusqu'à ma voiture et... non pas me porter secours, mais regarder s'il y avait des choses intéressantes dans ce que je transportais. VDM ",negative
les doigts dans le nez hannibal-smith76|venere mdrrrr,neutral
Viva ITALIA,positive
asia ahwka,neutral
cc nanasse,positive
!kiss eurasienne ,positive
pomponette: moi =),positive
iel est cool pourtant ...........topi,positive
Passager18 لقد حذثت رجالا كثيرا لقد كرهت منهم وضعتهم في كيس اسود,neutral
Julienjulien699 👻,neutral
Salamo lien introuvable,positive
nan j te rassure,positive
Bonjour vanille,positive
"Oui il fait assez frais en ce moment Mamy, y a du vent mais on va vite voir roussir les fueilles et profiter de la mélancholie et de la lumière de l'automne.",negative
ya pas d'heure pour l'apérowww,negative
les yéyés mdr,neutral
انت ثاني نينا ههههههههه,neutral
bonsoir Betty47,positive
 ♪♪♫♫♫ On Ecoute 🎧 PetitPierre|Happy-Days|On-AiR Zeux||Smile-RaDio|On-Air En live ! Faites !radio pour avoir les liens des Radios de vos DJ ! ou Activez le player en bas de page sur les boutons :▶│┄ ᴧ,neutral
lulu cv,positive
ghir ma tkhafch speedd,neutral
partu,neutral
bueno4: mrci,positive
Bsr terre,positive
Toto moi j invite tjr les autres a payé,neutral
chiasse de vacheuu,negative
ils ont un cyber,neutral
Ça va ?,positive
new-man: c hamzup hhhhh,neutral
Bonjour nanasse,positive
Juju35:  ne cherches pas tu vas avoir mal au crane mdr,negative
Ça va bien sublime,positive
Avec les gens sympa,positive
Tu me fais pleurer  PetitPierre|Happy-Days|On-AiR :(,negative
ههههههه,positive
"Ennour, Bye bye à plus ",negative
Ay rassi,neutral
https://www.youtube.com/watch?v=saf2SiKt76g,neutral
Bizarre ici,negative
s'mieux quand tu dis rien toi Faustt :o,negative
Adage pkoi toi la reine des étoiles' mdrrr,positive
Ahhhhhh Anya,positive
ça chauffe ça chauffe,negative
vous me semblez tendus,negative
tu l'auras ta douzaine de rose,neutral
"N'essaye pas d'être blessant _Medecin_Ritale, t'es pas dans un diné de famille avec papa maman.",negative
!gateau Desesperance,negative
Mdrrrrrrrrr,positive
speedd: Ah d'accord lol ....khiar enass lol,positive
walahi cvp,neutral
oulalala c'est la décadanceuuuh,negative
!coeur Arabica,positive
chkoun heda saad lmejraab,neutral
hhhhhhhhhhhhhhhhhhhhhhhhhh,positive
Tess_: Non !!!!!!!,negative
Hello,positive
et je ne les achète pas en grande surface,neutral
شوقي يتعلم الصمت من ذهب والكلام منه,neutral 
Ya des vraiment bizarre ici,negative
la mutuelle rembourse Barbapapa,positive
"barth, ça se passe de ton coté?",neutral
lol ChoupetteNoPV c'est pur etre confondu avec hannibal lecter lol lui je l'aime pas,negative
Mdrrr,positive
Speedd slm,positive
Pour moi les bosse ici c nanasse et gestion,neutral
Moscoo,neutral
re kader31|l-o-l,neutral
vitaa1: J'ai beau chercher qlq un ki aurai un soit peu mes traits j'trouve pas !! lol,negative
oui LeRebelle,positive
coucou twinsen non mais allo quoi ! mdrr,negative
للابد عذاب الحريق,neutral
walah laki ragdatha lila,neutral
c'est relou ,negative
Moscoo ana zawjouni b mo3alim mdr,neutral
n empeche que j ai cramé mon pc grrrr,negative
merci,positive
lkiss new,positive
"brooke, ça va toi m'oui?",positive
moscoo: mdrrrrrr bonsoir cv,positive
Salu la fuyarde Lulu,positive
Bsr insomnie,positive
lol  vitaa1,positive
Speedd lol chute,negative
"Forseti: Sinon y'a les macramés, ça aussi c'est super apaisant...",posiitve
kAyzO: non la tu parles de SM on parle de sousmission ;),negative
Ennour,neutral
souhila tu me recrute,neutral
j'ai rien vu,neutral
J'lis pas ça m'irrite les noeils,negative
Inno oui,positive
loken sah marakich hna   raki tssali  lol  adage,neutral
Mamy that's life on s'en tape,neutral
Faut laisser couler !,positive 
Christian et Xavier les deux meilleurs,positive
"Kornh, musique, café & toi?",neutral
killbill:  non rien,negative
Y'a des gay ou bi ici?,neutral
Bonsoir 🌷🌹🌷,positive
" ℹ️ [ INFO Chaat.fr ] ℹ️ : Tapez !radio pour avoir les liens de vos DJ préférés ♫♬♪, ou Activez le player en bas de page sur les boutons: ▶│┄ ᴧ",neutral
Coucouu,positive
je veux bien discuter de mode Crepuscule,positive
ههههههه,neutral
je vous salut marie_ ^^,positive
a zut!,negative
LadyIce dit un grand Bonjour ou Bonsoir à tout le monde ! ヽ(•‿•)ノ,positive
mais tu as vu je fait gaffe avec Rubis,positive 
guère dans me pattes,negative
on était 2 milliard en 1920 et on est 8 millards,neutral
coucou Betty47 bisous :),positive
Forza Italia Forza Azzuri,neutral
C'est quoi ici,neutral
bonsoir Mamy,positive
"on a perdu Mamy, elle a dut refaire un somme dans son canapé",neutral
testahli ya kedaba,neutral
Adage laisse tombé ils des gens qui comprend mal ça,negative
!clope,positive
Bonjour ❤,positive
okitoosd :p,positive
Jetais professeur de français depuis le début de l annee la jevais me reposer ouff,neutral
"Chaat.fr - n°197676  Aujourd'hui, je monte dans un bus longue distance. J'aperçois un très beau jeune homme et l'aborde avec un grand sourire, lui demandant si je pouvais m'asseoir à côté de lui. Il m'a répondu sèchement : ""Il n'y a pas assez de place dans ce bus ? Non, il faut que vous veniez m'emmerder."" VDM ",neutral
OkeY eurasienne|vivaitalia,neutral
Redol le vilain charclo,negative
salam arabica,positive
لطاعتك,neutral
Je suis la,positive
j'ai déjà payé c'est fait,positive
sveltes lol et pas betes :),positive
arrêtez la..,negative
bsr Castiel,positive
vitaa1: hhhhh mosiba,neutral
Unknown hhhhhhhh hab tshar.,neutral
Coucou,positive
bah un massage c'est deja bien The_Swing surtout de bon coeur !,positive
Tess_: pas de quoi,neutral
j'timaginais ap du tout comme ça,negtaive
car la religion est le premier pas sur la voie de la raison,negative
pas de tromperie,positive
ya adage je crois que tu as vraiment besoin de vitamine B12 nti hhhhhhhh,neutral
re kader31|l-o-l,positive
bonne soirée pipoune,positive
Bonjour  ennour3,positive
jregarde ,neutral
"Tramontane, lol x: ",positive
Chelou ici,negative
Zzzzz,negative
haha,positive
Labrune j ai des site pour toi pour ce genre de choses,positive
asil:  c pa frai cv,negative
Killbill bonsoir,positive
baloo|fb: hhh,positive
on fait des choix dans la vie et les consequences peuvent etre destastreuses,neutral
et surtout ne saute pas partout chipie lol,negative
speedd  ad3ili  maak,neutral
clic sur mon psedo myrtille,neutral
Guest57498 Un quart de siècle...,neutral
Arabica i am fine,positive
😂😂😂😂,positive
Kader31,neutral
lol non Elolo ;),negative
C'est normal qu'il sort encore des sons? c'est sa bonne femme qui assure le suivi mortuaire des royalties?,negative
Merci hannibal-smith76|venere,negative
Que pour les fille,neutral
ShadoWhite: tu as oublié les rennes,neutral
Oui jouir lol vous avez rien d'autre à faire que me faire chier,negative
cv imen  et  toi,neutral
jtm tres fort et jtmerai encore  je serai ta joie je ferai ton bonheur mon amour  ma ChoupetteNoPV,positive
coucou fort1,positive
!kb looping|222 vas jouer ailleurs,negative
Coucou,positive
hier j'ai fait du criquet avec mes amicalités distingués nous somme allés faire ce que j'appelle un boulot au cul de mon meilleur amicailtage,positive
perlea  du marocain,neutral
Chaouki bien merci et toi ?,positive
"non Caramelo , juste l'écrit",negative
Koharu:  bah après tu peux être musicien sans forcément enregistrer ce que tu fais.,neutral
Ouiii 133 ans adage,neutral
mais osef ce n est pas pour ça que je regardais,negative
vien on fais connaissance,neutral
elle met des coup de tete au clavier la mdr,negative
bsr DeLuGe,positive 
nasia: شكرا جزيلا لقد حشمتني هههه,neutral
grominet01: ho !,neutral
Racho:  mdrr,positive
جاك حفتر,neutral
hannibal-smith76:  oui hein c'est si bon,positive
Inno: hhh ,neutral
super hannibal-smith76 :),positive
Elle est surtout pleine de drogue.,negative
hello Galou64,positive
tu prend des risque la avec les pieds de The_Swing chipie elle a des pieds de hobitt ptdrrr,negative
toto: ghyr matchofnixh guest sinon yroh 3a9lha hhh,neutral
!plouf Candice,neutral
Sa vas trop vite la ohhhj,negative
!dodo accueil,neutral
Fin 95,neutral
"Myrtille, C'est pas bien compliqué ",neutral
OkitooSd: bah hhh,neutral
qloub,neutral
les femmes me comprennent,positive
tres bon,positive
la femme de coluche est morte j'ai vu çà hier :/,negative
مااذيناك,neutral
boklatek skhana Nailaa,neutral
The_Swing: tu t'en es sortie en vie !,positive
ok jregarde attend,neutral
et l'assistance sociale Barbapapa mdr,neutral
oui c mieux killbill,neutral
hhhhhh,positive
"Crepuscule, Yooooo ",positive
"lol grominet01, même pas vrai !",negative
Bonsoir,positive
Caramelo:  j'en ai l'air?,neutral
نشوف و لا شيء,neutral
oui voila chipie ..,positive
Le salon est fatiguée,negative
bueno4:  quelle chaine,neutral
Oui RaChOooOoOoOoOoO xD,positive
https://www.youtube.com/watch?v=vzh7MLTl7KE,positive
oui ca va lol :),positive
pas mal Grizzly-,positive
Belkacem|dz:  lol,positive
C'est seulement nul pour ceux qui aiment pas c'est juste subjectif,neutral
"Hannibal-smith76|venere, le 76 c'est pour la Seine-Maritime? et bonsoir :)",positive
tshhhhhh,neutral
"Tramontane, ouais ce que je dis lol mais mtn look son tous avec des ecouteurs bluetooth etc etc ",neutral
!kiss Myrtille,positive
Barbapapa:  ah bah chez moi par contre si,neutral
"*AMOUR* Le grand amour sera probablement pour tous ceux d'entre vous qui sont encore seuls ! Autant vous avez dû passer par une période de doute et de solitude, autant cette fois le bonheur sera à portée de main. La rencontre que vous attendez aura des chances de se produire. D'autre part, les influx de Saturne, l'astre de l'authenticité et de l'engagement, pourront se traduire par un mariage. Si vous vivez en couple, soyez surprenant et inventif ",positive
J ai vu ce film arabica,positive
les ours ?,neutral
c pas faux,positive
Mdrrr oui mais,neutral
Bonjour,positive
c'est quand la finale?,neutral
Bonsoir à tous !,positive
Linda hello cv,positive
Rudboy a dieu faux frère,negative
Bonjour SEphiroth,positive
speedd:  lol il vole 2secondes lol,neutral
bonne soirée Brune,positive
"Rire Terre-Hermess, ça va encore",positive
Elina cv,neutral
النار وقاية,positive
"Tramontane, oui mais je parles essentiellement dans ma boite du coup une usine t'es pas vrmt derriere un bureau quoi ",neutral
Salamo je ne comprends pas ton français,negative
bonsoir,positive
Myrtille bonjour,positive
Unknown: cv mes poussins😍😍😍😍,positive
bonjour Ennour,positive
perlea lol oj,neutral
slm nasia,positive
boudiou,negative
Moscoo ارهاق ؟,neutral
Mais avec 20 t as juste de commencer,negative
hey Esteban31|DiaL-MuSic|OnAiR,neutral
Speedd oui,positive
un ordre lol,negative
hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,positive
hhhhhh,positive
Si tu veu,neutral
Speed re,positive
Une grosse banane trop dure.. titeseve,negative
baloo|fb: ghyr ahreb hhhh,positive
mouscotcho lol,neutral
Hhhh,positive
wahrani31: à khroj matahchemch hhh,neutral
 Adage فتحتي الكيس الاسود,neutral
fakhro fih mazel moustamir fi nifak*,neutral
Feriel: oui kayna skhana brk hh,neutral
Vladcarstein: je le constate chaque jour ;),neutral
Bsr :),positive
la presse c'est le quatrieme pouvoir c hyper importan,positive
Salamo 😮,neutral
Bonsoir,positive
et le rien en même temps lol,neutral
merci pour ta prévention Tramontane,positive
Bonsoir hakunamatata,positive
nailaa waha ou fon de nous 3ajabna elhal,neutral
a plus Imen  bonne apres midi,positive
y'en a du boulets,negative
kayen son f site ?,neutral
Cc myrtille,positive
kofar,neutral
ⓘ Ayah|OnAir  merci,positive
ki qalbek lol,neutral
cc nanasse,neutral
Feriel: oui c b1,positive
Perlea les malaika rahma,positive
Pupuce revient en pv,neutral
C cool aujourd'hui  il fai pas chaud,neutral
iji idir dorouss,neutral
bonjour kAyzO,positive
Mamy: y'a des méschant et des jentiiiiii,positive
"vitaa1 wallah si tu l'avais dit clairement, je serais parti",negative
non butterfly !,negative
bisousss pipoune :),positive
Barbie viens en pv stp,neutral
Soon quoi?,neutral
moi je l'aide positivement a aiguiser son sens esthétique,positive
faite un /whois bigoook1,negative
"Forseti: Encore mieux, tu as les Scoubidous !",positive
kifmah aya ta3 rabi tadhkou 3la tgouli rouh ra9i,neutral
chipie chante à tue-tête lalalalalalalala. L'année prochaine c'est inscription à The Voice DIRECT ! 🎵 🎶,positive
SorinTudor:  bsr popogne,positive
non kAyzO dans la sienne,negative
On joue pas dans la même catégorie je crois Koharu.,negative
avec un tit peu de sauce tomate piquante,neutral
bonjour,positive
coucou bonjour Guest32725 tu vas bien,positive
en silence,neutral
هبلوني وانا ماعنديش وجه واحد,neutral
kAyzO,neutral
avec tout ça,neutral
"L'amour rend aveugle, le mariage rend la vue et le divorce vide les comptes",negative
Bonjour comment allez vous très chers amitiés distinguées de la toile ?,positive
c pour ca ke tu es un peu deregle samedii,negative
cv imen,neutral
baloo|fb: Arabica hhhhh,positive
merci killbill :),positive
"Arabica (uid505084@Rose.du.Desert) a été vu pour la dernière fois quitter #Passions il y a 16 heures, 3 minutes (Bon retour sur www.chaat.fr).",neutral
إنها تمطر على رأسك أو لا تمطر 18,neutral
bon retour parmi nous aachik,positive
Quels comediens ces italochs,negative
glissade,negative
vous etes celibataire,neutral
bonjour pomponette,positive
ne chante pas et je ne tire pas chipie lol,negative
bonsoir Rubis bisouss,positive 
Bnsr,positive
bsr lina,positive
jzayri yaref din f wach issa3do :D,positive
tu es commerciale?,neutral
"diablotin non, sinon je prendrais plus la voiture... Je suis une marmotte ok mais pas cinglée non plus... Du moins pas pour ça",negative
moscoo tacos  khir men tyabhom,neutral
bonsoir anya,positive
Salut Camiiille,positive
Et dire que j'allais m'excuser sans déconner,negative
C'est un monde primitif,negative
"Tramontane, perso je touche pas ça ",negative
et de drogue,negative
Inno: lol,neutral
mdrrr,positive
ويرزقه من حيث لا يحتسب,neutral
mdrr,positive
bonjour Guest48413,positive
https://www.youtube.com/watch?v=YV1mQJ0dD70,neutral
babycrew tu devrais changer ton pseudo,negative
Une Chanson samedii,neutral
هههههههههه,neutral
elles ont l'instinct plus aiguisé que les hommes pour comprendre l'arnaque de la religion,negative
ha badnick4808 c'est sexy aussi,positive
Speedd bjr,positive
Arabica في بعض الأحيان أكون مضحكة ولست دائما لدي الأستاذ المار,neutral
Ouais la météo aussi :(,negative
qu'on rigole,positive
Labrune: bye,positive
DialoguerSimplement:  https://youtu.be/CShiNsws85Q,neutral
mais toute jeune Mamy,positive
"mais chut Mamy, faut pas le dire, c est comme nous laisser croire que les femmes sont toutes des princesses mdrr",negative
merci idem,positive
Y'a que le pastis qui est à l'eau chez moi,negative
nan Le Seigneur des Tombes 3mo b0y mood c'est une playlist avec des sons d'ici,negative
"bigoook1, MDR hhhhhhhhhh ",positive
bonjour Chouchou3953,positive
perlaa  si celle ki passe en  cemoment  cest  nass el  ghiwan titre ah ya ouine,neutral
New-man lol me too,positive
wslm kAyzO akhy,positive
nasia: lol c cool,positive
Vladcarstein: pour ça je donne tjs des capotes à ma femme quand elle sort,positive
!voice Nyna,neutral
toi aussi XENOPHANE,positive
Moscoo nta nzawjouk b roussia,neutral
😋 t as raison Unknown je suis foutu avec speedd,positive
لم الندب بالسكوت,neutral
Nezha23:  Bonjour ^^,positive
nchalah yekhessro,neutral
انه يدوخ فينا,positive
"baillon (Chaat@6370B7AB.501876C1.45B328EA.IP) a été vu pour la dernière fois quitter #Accueil il y a 2 heures, 5 minutes (Bon retour sur www.chaat.fr).",neutral
le footballer est surment plus usé que l'autre,neutral
😂😂😂😂✌️,positive
Je fais quoi  pour le récupérer,neutral
ahhahaha,positive
Appel ta copine troll.,neutral
Unknown: c imen riche bzf,neutral
on est tous le con de qqn de tte facon,negative
Et ca mange des puddings,neutral
"Caramelo:  j'bosse pas, j'suis en arrêt",negative
Bah parle en salon caramelo,neutral
Cc lina,positive
awjak وَقَدْ نَزَّلَ عَلَيْكُمْ فِي الْكِتَابِ أَنْ إِذَا سَمِعْتُمْ آيَاتِ اللَّهِ يُكْفَرُ بِهَا وَيُسْتَهْزَأُ بِهَا فَلَا تَقْعُدُوا مَعَهُمْ,neutral
Lol merci eurasienne|vivaitalia,positive
"YouTube JuL - Pic et pic , Alcool et Drame // Clip officiel 📀👽💿 // 2021 par DORETDEPLATINE (durée: 3:18) - Vue(s): 2484109",neutral
ah merde je l'avais pas vu crepuscule pardon :D,negative
Bonsoir ici,positive
diablotin:  euh non non ça va,positive
Bonsoir,positive
perlea: on esper nchlh,positive
"Imen tu es à un pouce de la tombe, vu tes 90 ans",negative
Bsr!,positive
Turgon: oui lol,positive
Daline mon pseudo veut dire lumière,positive
sinon aujourdhui jai vu un ami ici on a mangé au resto et parlé avec des gens cetait cool,positive
t'es un artiste boy tu dead ça,positive
nailaa normal,neutral
à l'eau,neutral
bsr mr Eddie-,positive
1 - 0 pour nanasse,neutral
bah je l'ai vu hier,positive
Ah c comme ça passager18 moi j ai pas le droit a une musique que pour  إن الأمر كذلك بالنسبة لأبناء عمومتك ولكن ليس لديك,neutral
a+ kader31|abs,positive
Ta peut-être pas le droit a la Cam,negative
Hhhhhhhj,positive
Ayah mdr,neutral
chipie c'est toi qui pété?,negative
la perte dune amie c pas grave,positif
toi aussi new-man,positive
tu veut ou pas,negative
le reste je sais pas,negative
Myrtille cc,positive
hophop,neutral
tu peux pas le nier,neutral
oups,negative
bonsoir,positive
hab izoukh qadem lebnat,neutral
les alcolos ne paieront leur trousse d'urgence urgo delire,negative
"bigoook1, je connais pas cette ville ",negative
new-man t'aime de tout son coeur ChoupetteNoPV ! DéClaration devant vous sur #algerie ! (Ɔ ˘⌣˘)♥(˘⌣˘ C),positive
adage  dok ndawkhek lol,neutral
cool les gens !,positive
comme pr la victoire de la musique mdr,neutral
oui Broken,neutral
t naze,negative
Lol speedd XD,positive
¯\_ಠ_ಠ_/¯,positive
Tu t'es jamais mis une murge je suppose Tess_ ??,neutral
rerere tom,neutral
baloo|fb: ahh ouii j assume pour ça 😂😂😂😂,positive
pas toujours mais des fois Vladcarstein,negative
perlea: bien aussi merci,positive
bonjour Makeuo21,positive
Salut,positive
qui a une blague à raconter ?  ^^,neutral
bonjour JiNie bisous,positive
chipie:  t'inquiète je suis tireuse de canards lol,neutral
grominet01: oui :/,negative
t as des probleme toi,negative
ChoupetteNoPV fait un énorme Kiiiiisss à new-man,positive
C bien l'Espagne,positive
wala hadok nssitihom,neutral
"isam (lea@373DCA4A.C3C43EDD.5F42CDF6.IP) a été vu pour la dernière fois quitter #algerie il y a 13 heures, 47 minutes (Bon retour sur www.chaat.fr).",negative
Dacool ouii mon chéri. Mdr,positive
Hhhhhhh,neutral
Eurasinne Salam c va,positive
Titeseve ? Et bé....bonsoir bisousssss,positive
on y était pas que je sache,neutral
"Davros : mmh, te connaissant ça se tient. Il est vrai que les trains c'est sympa ^^ Et bof, ça me frustrait à l'époque, je n'arivais pas à faire les noeuds :/",positive
écoute ses sons alors,neutral 
Bonjour à tous,positive
"nulle part Raphry, mauvais endroit",negative
bonjour Saperlipopette et nanasse,positive
Non aklin dakii a samedii,negative
de rien chef,positive
ils ne sont pas libres,negative
Adage c'est  bien fausia se lalolagije n'ai que cette langue de ma grande mère désolé,negative
moi je ressemble à Jason Momoa avec quelques kilos en trop o:,negative
re Tess_,positive
bonsoir bonsoir,positive
bonne nuit,positive
Bonjour nanasse :),positive
c'est un nom de famille barnie,neutral
lolipop tu es très vulgaire ce soir chelou toi,negative
trop d'café ça peut faire mal au sternum,negative
les gens atteint du covid perdaient l'odorat,negative
Bonjour àvous  tous,positive
re Vladcarstein,neutral
Inno:   Faut te reposer,negative
Wizzzzzzzzz,neutral
Romantiqua bonsoir,positive
vous etes pas des proies,positive 
karl zéro est très investit sur le sujet.,positive
Adios paella,positive
 Bisoussss  hakunamatata,positive
je suis moche lol Guest32725  si je la poste elles vont senfuir lol,negative
"je pense aller coté marseille, il y a le soleil",positive
"hubla hup, barbatruc",neutral
"Louisee:  maliche , c est pas garve",positive
😣 jiblli drahmi nechri kebch speedd,negative
Ah OK je connais bien sublime région la bas,positive
bisousssssss ma TiteSeve à bientôt ma douce <3,positive
pour quitter Little_Ch33ky c'est f5,neutral
pour ca qu'ils peuvent pas l'etre au dela d'un certain age,neutral
jai ce quil faut,positive
t'as ramené quelque chose pour nous Anand44 ?,neutral
hello,positive
ça fait bizarre les gens vont se coucher et moi je me suis réveiller il y a pas longtemps...,negative
c'est le foot faut respecter bojik,neutral
Adage,neutral
Et ici les chat et chien c'est pas ça qui manque,positive
re la room,positive
Drôle de bruit PetitPierre|Happy-Days|On-AiR,neutral
yak kayen lma,neutral
rak merkoub,neutral
P0ussiere2lune:  mdrrrr,positive
et pas trainer solo sur la plage la night hein les filles ,negative
 ℹ️ [ INFO Chaat.fr ] ℹ️ : Envie de faire partie des radios sur la playlist de l'interface de t'chat? ♫♪.ılılıll|̲̅̅●̲̅̅|̲̅̅=̲̅̅|̲̅̅●̲̅̅|llılılı.♫♪ Faites en la demande sur ☞ https://support.chaat.fr/partenariat-radio :o) Enjoy !(>‿◠)✌,neutral
!seen Oliv,neutral
 chipie prend Gentilmec dans ses bras et lui fait un énorme calin ❤❤❤,positive
Beuno4 shut up,negative
Salam Mchimcha lol,positive
lololol,positive
vivement qui paient leur credit que le prix de la chambre baisse,negative
L'espagne c fai avoir la,negative
Dois,neutral 
Guest32725:  je suis pris moi lol,negative
de rien,positive
basseme nta super caca,negative
J'arrive pas à récupérer mon pseudonyme,negative
bueno4: cv merci frr skhana lyamat hado !,positive
bonjour argelino1,positive
Ouiiii,positive
lol Elolo bah voyons,negative
bnjr,positive
Hhhh vitaa1,positive
mdrrrrrrrrr,positive
moscoo tcho,neutral
Coucou tiptop06,positive
celine: bonjour,positive
Unknown:  wach rak,neutral
Imen: hhhh,positive
ChTitHa bél LHém samedii,neutral
Vanille: bof,negative
Dans le Sahara et servire les zone ou la crevette n est pas accecible,negative
ah si ùais tkt un super sympa gage,positive
ou alors congolaise mdr,negative
grominet01: faut etre patient çà bouge deja un peu là,neutral
Bille jean,neutral
coucou Chouchou3953,positive
Speedd bonsoigh oui et toi ?,positive
Dans ton fion rempli de merde mdrrr aller je me casse dommage tu va t'en jouer,negative
Ah OK et pas de vocal non plus,negative
a en avoir cen'etait pas synonyme de tromperie pour moi pourtant je suis sevère,negative
saha  ftorkoume,neutral
beautifuul giirrl doudoudouuuu,positive
  coucou la choups1 et mon choupinet d'amour HamsterJovial,positive
jai commencé a fumer a 14a,negative
Massss,neutral
حسنًا ، تشارلز إينغلس في البيت الصغير في البراري,neutral
"Tramontane, Costa brava o/ ",neutral
!seen cheima,neutral
dexeryl j'en veux pas ce n'est pas adapté,negative
perlea de rien,neutral
rouh terqi,neutral
Coucou Damien33,positive
mdrr,positive
va prendre un crédit pour une maison,neutral
!eau,neutral
Alors,neutral
ىضسهض ضاضئنض,neutral
mohim,neutral
Bonjour tout le monde :) Passer une excellente journée !,positive
YouTube موسيقى حماسية  يبحث عنها الجميع   كاملة   للمونتاج 2020♥ par Traxe Tv (durée: 4:06) - Vue(s): 1550293,neutral
"moi je vais limité le café pour le resste e la nuit, ou je vais avoir mal à l estomac",negative
Adage ne parle pas trop et ne saute pas sur tout qui bouge,negative
dommage on ne peut pas profiter de ta beauté ours,negative
La France est une bergerie et aniers de la pin,neutral
bonne idée bidou,positive
Mau je t'aime,positive
(rien d'original mais ça soulage (comme le peintre),positive
Je préfère l'heure algérienne a 20h,neutral
oui aussi,neutral 
Non je fais de tout.,negative
Noooooon Candice pourquoi tu veux me faire du mal comme ça ):,negative
أعطي لنفسي هذا الانطباع. أنني أعرف كيف أكتب بالعربية ، إنه شيء رائع,neutral 
Sympa3: kawl el hakk   li dekhelni,neutral
Renoie qui cherche son rebeu,neutral
C'est pas facile d'avoir une tête aussi déformé.,negative
J'ai déjà hâte.,positive
!bye salon,positive
fallait pas que je m'attende à de la compassion :(,negative
!k XENOPHANE c est ça,positive
lmohim dir livret,neutral
110da,neutral
Merci pour ton anim Maude2b|US-Route-66|OnAir au toooop,positive
ahayyyy  aychin f les reves,positive
coucou,positive
Raphry repond pas non plus ta quel age,negative
Tir au but alors,neutral
Ah non du tout,negative
basseme:  oui j'ai compris c'est gentil de ta part,positive
je fais de l'électro aussi.,neutral 
!café hannibal-smith76,neutral
!calin,positive
le soucis est qu'il y a de plus en plus de tornarde en france chipie,negative
ki tawssal hijeb  o drahem c bon lol,neutral
Ça criait fort chez moi taleure,negative
Hahahah,positive
Hiya des bières khir xD,positive
Ya eu une main nan,negative
YouTube Zakaria Ghafouli - La Tkabar Chane (EXCLUSIVE Music Video) | (زكرياء الغفولي - لاتكبر الشان (حصرياً par Zakaria Ghafouli | زكرياء الغافولي (durée: 4:43) - Vue(s): 20967679,neutral
et paf la piaf !,negative
avec plaisir MvsConeX,positive
Donc pas encore eurasienne|vivaitalia,negative
